"","State","Year","variable","value"
"1","AK",1950,"Fatalities",0
"2","AK",1951,"Fatalities",0
"3","AK",1952,"Fatalities",0
"4","AK",1953,"Fatalities",0
"5","AK",1954,"Fatalities",0
"6","AK",1955,"Fatalities",0
"7","AK",1956,"Fatalities",0
"8","AK",1957,"Fatalities",0
"9","AK",1958,"Fatalities",0
"10","AK",1959,"Fatalities",0
"11","AK",1960,"Fatalities",0
"12","AK",1961,"Fatalities",0
"13","AK",1962,"Fatalities",0
"14","AK",1963,"Fatalities",0
"15","AK",1964,"Fatalities",0
"16","AK",1965,"Fatalities",0
"17","AK",1966,"Fatalities",0
"18","AK",1967,"Fatalities",0
"19","AK",1968,"Fatalities",0
"20","AK",1969,"Fatalities",0
"21","AK",1970,"Fatalities",0
"22","AK",1971,"Fatalities",0
"23","AK",1972,"Fatalities",0
"24","AK",1973,"Fatalities",0
"25","AK",1974,"Fatalities",0
"26","AK",1975,"Fatalities",0
"27","AK",1976,"Fatalities",0
"28","AK",1977,"Fatalities",0
"29","AK",1978,"Fatalities",0
"30","AK",1979,"Fatalities",0
"31","AK",1980,"Fatalities",0
"32","AK",1981,"Fatalities",0
"33","AK",1982,"Fatalities",0
"34","AK",1983,"Fatalities",0
"35","AK",1984,"Fatalities",0
"36","AK",1985,"Fatalities",0
"37","AK",1986,"Fatalities",0
"38","AK",1987,"Fatalities",0
"39","AK",1988,"Fatalities",0
"40","AK",1989,"Fatalities",0
"41","AK",1990,"Fatalities",0
"42","AK",1991,"Fatalities",0
"43","AK",1992,"Fatalities",0
"44","AK",1993,"Fatalities",5
"45","AK",1994,"Fatalities",0
"46","AK",1995,"Fatalities",7
"47","AK",1996,"Fatalities",2
"48","AK",1997,"Fatalities",0
"49","AK",1998,"Fatalities",0
"50","AK",1999,"Fatalities",18
"51","AK",2000,"Fatalities",13
"52","AK",2001,"Fatalities",9
"53","AK",2002,"Fatalities",7
"54","AK",2003,"Fatalities",1
"55","AK",2004,"Fatalities",3
"56","AK",2005,"Fatalities",0
"57","AK",2006,"Fatalities",2
"58","AK",2007,"Fatalities",0
"59","AK",2008,"Fatalities",3
"60","AK",2009,"Fatalities",2
"61","AK",2010,"Fatalities",0
"62","AK",2011,"Fatalities",2
"63","AL",1950,"Fatalities",0
"64","AL",1951,"Fatalities",0
"65","AL",1952,"Fatalities",6
"66","AL",1953,"Fatalities",16
"67","AL",1954,"Fatalities",0
"68","AL",1955,"Fatalities",5
"69","AL",1956,"Fatalities",25
"70","AL",1957,"Fatalities",10
"71","AL",1958,"Fatalities",1
"72","AL",1959,"Fatalities",0
"73","AL",1960,"Fatalities",0
"74","AL",1961,"Fatalities",0
"75","AL",1962,"Fatalities",0
"76","AL",1963,"Fatalities",3
"77","AL",1964,"Fatalities",12
"78","AL",1965,"Fatalities",0
"79","AL",1966,"Fatalities",1
"80","AL",1967,"Fatalities",5
"81","AL",1968,"Fatalities",1
"82","AL",1969,"Fatalities",2
"83","AL",1970,"Fatalities",2
"84","AL",1971,"Fatalities",4
"85","AL",1972,"Fatalities",4
"86","AL",1973,"Fatalities",10
"87","AL",1974,"Fatalities",79
"88","AL",1975,"Fatalities",2
"89","AL",1976,"Fatalities",0
"90","AL",1977,"Fatalities",23
"91","AL",1978,"Fatalities",0
"92","AL",1979,"Fatalities",0
"93","AL",1980,"Fatalities",0
"94","AL",1981,"Fatalities",2
"95","AL",1982,"Fatalities",0
"96","AL",1983,"Fatalities",4
"97","AL",1984,"Fatalities",16
"98","AL",1985,"Fatalities",4
"99","AL",1986,"Fatalities",8
"100","AL",1987,"Fatalities",1
"101","AL",1988,"Fatalities",0
"102","AL",1989,"Fatalities",21
"103","AL",1990,"Fatalities",0
"104","AL",1991,"Fatalities",5
"105","AL",1992,"Fatalities",4
"106","AL",1993,"Fatalities",4
"107","AL",1994,"Fatalities",28
